"id","left","top","right","bottom","row_index","col_index","Humidity_19"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,84.3184129568744
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,84.334984574213
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,84.3322364371768
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,84.356689013861
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,84.3789581683393
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,84.3236294637586
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,84.1493616714868
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,83.8461627900316
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,83.4472744540506
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,83.0044315584832
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,82.5631855124299
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,82.1529201484839
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,81.7879811560569
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,81.4934015209165
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,81.2950877511975
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,81.2337500026774
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,81.3011403676152
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,81.4410250689218
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,81.6237537892202
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,81.8361779394754
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,82.0764173575204
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,82.346152624376
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,82.6421582132271
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,82.9513121661071
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,83.2371453389981
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,83.4900163441528
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,83.7018652121008
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,83.8634744976681
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,83.970833420426
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,84.0399505632088
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,84.0726318188108
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,84.0709164615472
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,84.0482823143403
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,84.0160423643496
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,83.9749127146705
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,83.9249546667229
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,83.8699673514905
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,83.8137154653064
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,83.7639738230452
