"id","left","top","right","bottom","row_index","col_index","Wind_19"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,14.9659320427334
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,15.069234928232
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,15.2047970367892
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,15.4568297618568
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,15.7992397957112
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,16.1562402657335
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,16.5037680663427
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,16.809021356984
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,17.0586775725125
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,17.2632020631522
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,17.4300808743512
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,17.5617788541141
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,17.6541995865337
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,17.6924895959879
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,17.6375164289654
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,17.412528108203
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,17.0202092000158
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,16.5443222102913
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,16.034839892971
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,15.5215004229024
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,15.0145725751593
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,14.5230353979452
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,14.0540554160213
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,13.6143211158496
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,13.2114126794994
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,12.8646650307089
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,12.6032269511761
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,12.438016014737
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,12.3673811261347
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,12.3747412543594
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,12.4456695488218
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,12.5689269805801
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,12.7354171231937
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,12.9347510688591
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,13.1592652095767
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,13.4040475906639
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,13.6647241009109
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,13.9289172245169
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,14.1725120174309
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,14.3883638381223
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,14.5748803562809
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,14.7313874941424
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,14.8635914265934
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,14.9812394949023
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,15.075525866753
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,15.1425953909058
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,15.1838957216196
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,15.2010827084144
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,15.1959481483403
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,15.1720494948327
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,15.1529741770243
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,15.1456759141908
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,15.1525752005326
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,15.1755523155279
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,15.2082074698344
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,15.2441629370064
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,15.2761330317631
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,15.3019070609311
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,15.3170214982035
60,100.119736916,1.434468625,100.209206916,1.344854625,59,0,15.3203827197597
61,100.119736916,1.344854625,100.209206916,1.255240625,60,0,15.3203504289067
62,100.209206916,6.721694625,100.298676916,6.632080625,0,1,14.9899643773681
63,100.209206916,6.632080625,100.298676916,6.542466625,1,1,15.0838687469262
64,100.209206916,6.542466625,100.298676916,6.452852625,2,1,15.1812752122513
65,100.209206916,6.452852625,100.298676916,6.363238625,3,1,15.4600908269088
66,100.209206916,6.363238625,100.298676916,6.273624625,4,1,15.8553410270203
67,100.209206916,6.273624625,100.298676916,6.184010625,5,1,16.2502850729244
