"id","left","top","right","bottom","row_index","col_index","Vegetation_18"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,74811.9228874143
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,61609.5120210642
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,46319.7512225136
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,36443.0767938215
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,30682.1685630445
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,24113.0856841359
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,19686.3082894796
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,17765.4880014157
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,17808.8698517488
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,18837.9581414705
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,20556.180250985
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,22729.0830320598
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,23676.4087908965
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,22925.9566038436
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,22204.1817670533
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,23071.7173810041
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,26399.8648471329
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,32531.0828076698
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,41527.6273619643
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,50604.9301899795
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,59046.7446960832
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,68625.385890133
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,79903.7942316819
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,91685.2970583074
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,103376.610330432
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,114416.096532102
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,124763.551131614
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,132323.690794158
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,136615.142337041
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,138635.578538847
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,139309.824276024
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,139500.542469634
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,140690.120830182
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,142603.235797929
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,145278.503932862
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,148585.971914918
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,151792.811489418
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,155062.82932319
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,158154.879058911
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,161036.659126234
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,163639.534116346
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,165683.39890676
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,166943.75218096
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,167243.220370252
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,167195.105838883
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,167195.105838883
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,167195.105838883
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,167195.105838883
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,167195.105838883
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,167195.105838883
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,167195.105838883
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,167195.105838883
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,167195.105838883
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,167195.105838883
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,167195.105838883
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,167195.105838883
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,167195.105838883
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,167195.105838883
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,167195.105838883
60,100.119736916,1.434468625,100.209206916,1.344854625,59,0,167195.105838883
61,100.119736916,1.344854625,100.209206916,1.255240625,60,0,167195.105838883
62,100.209206916,6.721694625,100.298676916,6.632080625,0,1,74869.8156822058
63,100.209206916,6.632080625,100.298676916,6.542466625,1,1,57482.7514501544
64,100.209206916,6.542466625,100.298676916,6.452852625,2,1,35515.5980620255
65,100.209206916,6.452852625,100.298676916,6.363238625,3,1,21925.1454873548
66,100.209206916,6.363238625,100.298676916,6.273624625,4,1,14617.8516028365
67,100.209206916,6.273624625,100.298676916,6.184010625,5,1,8972.39553643851
68,100.209206916,6.184010625,100.298676916,6.094396625,6,1,5988.10207335676
69,100.209206916,6.094396625,100.298676916,6.004782625,7,1,5597.3192988797
70,100.209206916,6.004782625,100.298676916,5.915168625,8,1,6511.8926515608
71,100.209206916,5.915168625,100.298676916,5.825554625,9,1,8365.12618016592
72,100.209206916,5.825554625,100.298676916,5.735940625,10,1,12818.2817475775
73,100.209206916,5.735940625,100.298676916,5.646326625,11,1,18771.0063479632
74,100.209206916,5.646326625,100.298676916,5.556712625,12,1,20684.1623261864
75,100.209206916,5.556712625,100.298676916,5.467098625,13,1,16862.0549297037
76,100.209206916,5.467098625,100.298676916,5.377484625,14,1,13400.5569938318
77,100.209206916,5.377484625,100.298676916,5.287870625,15,1,12957.6325270643
78,100.209206916,5.287870625,100.298676916,5.198256625,16,1,16045.9076344572
79,100.209206916,5.198256625,100.298676916,5.108642625,17,1,22743.5214289435
80,100.209206916,5.108642625,100.298676916,5.019028625,18,1,31588.1869324302
81,100.209206916,5.019028625,100.298676916,4.929414625,19,1,40610.2152222394
82,100.209206916,4.929414625,100.298676916,4.839800625,20,1,49021.3716880761
83,100.209206916,4.839800625,100.298676916,4.750186625,21,1,58898.8889366637
84,100.209206916,4.750186625,100.298676916,4.660572625,22,1,69297.8667051478
85,100.209206916,4.660572625,100.298676916,4.570958625,23,1,79785.1848348552
86,100.209206916,4.570958625,100.298676916,4.481344625,24,1,91217.3341463245
87,100.209206916,4.481344625,100.298676916,4.391730625,25,1,103903.003140426
88,100.209206916,4.391730625,100.298676916,4.302116625,26,1,115979.380271062
89,100.209206916,4.302116625,100.298676916,4.212502625,27,1,125781.877560737
