"","location","lon","lat","treecover2018","treecover2019"
"582","Beaufort , Sabah , Malaysia",115.7453354,5.3455687,131927,130858
"590","Beluran , Sabah , Malaysia",117.5571852,5.8961356,685634,676065
"598","Keningau , Sabah , Malaysia",116.1566801,5.3374039,218450,214714
"606","Kinabatangan , Sabah , Malaysia",117.8500842,5.586506,652252,630426
"614","Kota Belud , Sabah , Malaysia",116.4310448,6.3544511,101669,100589
"622","Kota Kinabalu , Sabah , Malaysia",116.0734568,5.980408,23845,23573
"630","Kota Marudu , Sabah , Malaysia",116.7609682,6.4958249,143011,140591
"638","Kuala Penyu , Sabah , Malaysia",115.5971459,5.571717,33038,32596
"646","Kudat , Sabah , Malaysia",116.8466165,6.8830571,92151,91479
"654","Kunak , Sabah , Malaysia",118.2511462,4.686116,82556,78294
"662","Lahad Datu , Sabah , Malaysia",118.3307461,5.024206,553082,543830
"670","Nabawan , Sabah , Malaysia",116.4261945,5.0397906,568518,563122
"678","Papar , Sabah , Malaysia",115.9318508,5.734628,99901,98881
"686","Penampang , Sabah , Malaysia",116.2601346,5.8633758,38230,37835
"694","Pitas , Sabah , Malaysia",117.055273,6.722237,114179,112506
"702","Putatan , Sabah , Malaysia",116.0485263,5.8912079,845,808
"710","Ranau , Sabah , Malaysia",116.6639501,5.953561,306909,304298
"718","Sandakan , Sabah , Malaysia",118.1171729,5.839444,174023,166269
"726","Semporna , Sabah , Malaysia",118.611545,4.479391,90438,88584
"734","Sipitang , Sabah , Malaysia",115.550825,5.07919,242012,241059
"742","Tambunan , Sabah , Malaysia",116.410779,5.721291,122249,121012
"750","Tawau , Sabah , Malaysia",117.8911861,4.244651,463038,458050
"758","Tenom , Sabah , Malaysia",115.9444858,5.1247314,196955,195056
"766","Tongod , Sabah , Malaysia",117.088771,5.2783414,875239,870255
"774","Tuaran , Sabah , Malaysia",116.23279,6.176269,95933,94761
"782","Asajaya , Sarawak , Malaysia",110.5184843,1.5460485,10207,10004
"790","Bau , Sarawak , Malaysia",110.1550419,1.4157901,81041,80026
"798","Belaga , Sarawak , Malaysia",113.7822214,2.7050035,1636499,1619431
"806","Betong , Sarawak , Malaysia",111.528999,1.411517,169496,167007
"814","Bintulu , Sarawak , Malaysia",113.0428485,3.1738542,542844,530838
"822","Dalat , Sarawak , Malaysia",111.9388601,2.738395,65006,64556
"830","Daro , Sarawak , Malaysia",111.417057,2.527996,134727,132908
"838","Julau , Sarawak , Malaysia",111.9166088,2.024275,147149,146618
"846","Kanowit , Sarawak , Malaysia",112.153298,2.101223,192924,191344
"854","Kapit , Sarawak , Malaysia",112.933085,1.995115,1432001,1419074
"862","Kuching , Sarawak , Malaysia",110.359503,1.5533785,138192,136885
"870","Lawas , Sarawak , Malaysia",115.406759,4.8612565,328708,326704
"878","Limbang , Sarawak , Malaysia",115.0081459,4.755032,360725,358223
"886","Lubok Antu , Sarawak , Malaysia",111.8535959,1.043355,126245,125953
"894","Lundu , Sarawak , Malaysia",109.8519689,1.671364,129955,127938
"902","Marudi , Sarawak , Malaysia",114.3222064,4.1782188,1909415,1894075
"910","Matu , Sarawak , Malaysia",111.4716679,2.695497,83764,82828
"918","Meradong , Sarawak , Malaysia",111.7137694,2.102612,30548,30016
"926","Miri , Sarawak , Malaysia",113.9913832,4.399493,312506,305533
"934","Mukah , Sarawak , Malaysia",112.0921699,2.8920883,152829,151374
"942","Pakan , Sarawak , Malaysia",111.6190263,1.8363128,109867,108919
"950","Samarahan , Sarawak , Malaysia",110.488266,1.459921,25723,25410
"958","Saratok , Sarawak , Malaysia",111.3378401,1.738795,95062,90624
"966","Sarikei , Sarawak , Malaysia",111.5237279,2.131703,55647,54372
"974","Selangau , Sarawak , Malaysia",112.3405368,2.5400855,297517,292970
"982","Serian , Sarawak , Malaysia",110.5665059,1.167035,168557,165355
"990","Sibu , Sarawak , Malaysia",111.8312675,2.2883267,133582,131383
"998","Simunjan , Sarawak , Malaysia",110.6923232,1.2405774,148845,147752
"1006","Song , Sarawak , Malaysia",112.5497602,2.0064401,381392,379558
"1014","Sri Aman , Sarawak , Malaysia",111.462079,1.237031,309549,304705
"1022","Tatau , Sarawak , Malaysia",112.855621,2.87896,393733,383458
"1030","Gombak , Selangor , Malaysia",101.6533256,3.2535016,41917,41413
"1038","Hulu Langat , Selangor , Malaysia",101.8159546,3.1132958,53881,53349
"1046","Hulu Selangor , Selangor , Malaysia",101.6583123,3.5601046,136960,134974
"1054","Klang , Selangor , Malaysia",101.4455621,3.044917,25294,24967
"1062","Kuala Langat , Selangor , Malaysia",101.4950699,2.8038283,50711,49378
"1070","Kuala Selangor , Selangor , Malaysia",101.249762,3.340184,80758,78371
"1078","Petaling , Selangor , Malaysia",101.5359674,3.1846237,11490,11330
"1086","Sabak Bernam , Selangor , Malaysia",100.9836551,3.769601,70529,69873
"1094","Sepang , Selangor , Malaysia",101.7352881,2.8059607,30909,30192
"1102","Besut , Trengganu , Malaysia",102.5635028,5.7952741,83741,82731
"1110","Dungun , Trengganu , Malaysia",103.4183495,4.7645344,223815,221573
"1118","Hulu Terengganu , Trengganu , Malaysia",103.0089371,5.0730424,313208,311100
"1126","Kemaman , Trengganu , Malaysia",103.4211031,4.235359,187168,182774
"1134","Kuala Terengganu , Trengganu , Malaysia",103.1412157,5.3283231,31268,30564
"1142","Marang , Trengganu , Malaysia",103.204944,5.207711,42518,40624
"1150","Setiu , Trengganu , Malaysia",102.7460482,5.5196889,94058,92013
